Id,Height,Weight,FeetSize,Year,Sex
40,157,50,230,3,F
5,158,48,235,3,F
16,155,59,235,4,F
17,163,85,235,3,F
24,160,52,235,3,F
42,160,57,235,3,F
3,168,65,240,3,M
8,168,58,240,4,F
9,163,53,240,3,F
11,160,64,240,3,F
27,165,45,240,3,F
1,164,45,250,4,F
19,167,50,250,3,M
43,168,65,250,3,M
6,165,65,255,3,M
21,170,58,255,3,M
23,170,61,255,3,M
25,166,65,255,3,F
29,163,60,255,3,M
36,158,45,255,3,F
38,170,79,255,3,M
14,170,88,260,3,M
28,176,61,260,3,M
34,171,61,260,3,M
12,178,94,265,3,M
13,171,73,265,3,M
18,174,73,265,3,M
20,172,58,265,4,M
22,171,54,265,3,M
32,178,67,265,3,M
35,173,65,265,3,M
39,173,73,265,3,M
15,173,65,270,3,M
37,186,95,270,3,M
2,173,86,275,4,M
7,174,72,275,3,M
10,176,98,275,3,M
26,185,82,275,3,M
4,170,86,280,3,M
30,175,90,280,3,M
33,183,61,280,3,M
41,176,84,280,3,M
31,182,75,290,3,M
